Ceské_Budejovice  0  0  0  0  0  0  0  0  0  0    
Ceuta  0  0  0  0  0  0  0  39482  40517  40995    
Chambéry  117318  118716  119112  119364  119545  120792  121919  123863  0  0    
Charleroi  0  0  178943  187673  191480  189986  189574  0  205772  0    
Chartres  82826  83035  83282  82472  82239  81810  81988  82006  0  0    
Chelm  0  0  0  0  0  0  0  0  0  0    
Cheltenham  0  0  103900  104700  111800  110700  0  0  0  0    
Chemnitz  119400  120000  118333  119014  117335  115902  117571  114273  221000  0    
Cherbourg-en-Cotentin  72558  72456  72277  72057  71891  71879  71474  72004  0  0    
Cheshire_West_and_Chester  0  0  237200  235700  244900  247800  0  0  0  0    
Chiclana_de_la_Frontera  0  0  0  0  0  0  0  40457  42613  42891    
Chomutov  0  0  0  0  0  0  0  0  0  0    
Ciudad_Real  0  0  50770  50695  50075  51444  51062  49748  51284  51501    
Clermont-Ferrand  231894  232832  233393  234323  234730  236195  237862  238776  0  0    
Cluj-Napoca  0  0  0  0  0  0  0  0  0  0    
Coimbra  0  0  0  0  0  0  0  0  125082  0    
Colchester  0  0  155500  148300  162300  165000  0  0  0  0    
Colmar  97085  97338  98362  98543  98325  98383  98631  98561  0  0    
Como  0  0  0  0  0  80298  78501  74435  0  0    
Constanta  0  0  0  0  0  0  0  0  0  0    
Cork  0  0  0  0  0  0  0  0  0  0    
Cosenza  0  0  0  0  0  76255  74400  73599  0  0    
Cottbus  113700  111000  108244  109611  107833  106689  103792  100734  88000  0    
Coventry  0  0  344300  353600  372900  389100  0  0  0  0    
Craiova  0  0  0  0  0  0  0  0  0  0    
Cremona  0  0  0  0  0  58051  57291  55758  0  0    
Cuenca  0  0  29880  29982  29340  30103  30007  28916  29372  29635    
Cyprus  0  0  0  0  0  0  0  0  0  0    
Czech_Republic  0  0  0  0  0  0  0  0  0  0    
Czestochowa  0  0  0  0  0  0  0  0  0  0    
Cáceres  0  0  58100  57621  56327  58021  57495  56538  56672  57127    
Cádiz  123018  125202  123161  120865  116002  117281  116357  114436  117843  115607    
Córdoba  174719  172305  173296  173827  169732  172191  171357  169284  169265  167513    
Darmstadt  225100  224200  228263  233854  235473  236027  239821  233662  236000  0    
Daugavpils  0  0  54300  53800  51400  52600  51200  53600  44900  47000    
Debrecen  0  0  0  156465  0  0  0  0  0  162579    
Denizli  0  0  0  0  0  0  0  0  0  0    
Denmark  0  0  0  0  0  0  0  0  0  0    
Derby  0  0  241500  246100  239600  249700  0  0  0  0    
Dessau-Roßlau  41600  40600  40086  39872  38709  37168  36969  36297  56000  0    
Deventer  0  65000  63000  59000  0  0  61671  65292  66000  68000    
Dijon  196143  196697  196894  196183  195793  195290  196197  197697  0  0    
Diyarbakir  0  0  0  0  0  0  0  0  0  0    
Dobrich  0  0  45628  44139  44219  43742  44080  42691  40049  0    
Douai  87795  87183  86726  86321  86299  85764  85638  86030  0  0    
Dresden  673200  676000  670554  674580  669931  663728  669565  657513  492000  0    
Drobeta-Turnu_Severin  0  0  0  0  0  0  0  0  0  0    
Dublin  0  0  0  0  0  0  0  0  0  0    
Dunaújváros  0  0  0  43254  0  0  0  0  0  43730    
Dundee_City  0  0  0  129900  125200  128100  0  0  0  0    
Dunkerque  118886  118623  118439  117843  117130  116441  115911  115952  0  0    
Düren,_Stadt  0  0  0  0  0  0  131002  129356  107000  0    
Düsseldorf  740900  746300  748540  766751  766245  767486  774423  764292  749000  0    
Ede  0  0  80000  79000  0  0  81844  81772  88000  91000    
Edinburgh  0  0  0  447000  475400  489200  0  0  0  0    
Edirne  0  0  0  0  0  0  0  0  0  0    
Eger  0  0  0  47515  0  0  0  0  0  48854    
