Country_Name  Country_Code  2013  2014  2015  2016  2017  2018  2019  2020  2021  2022
Túnez  TUN  4084374  4103893  4121291  4162572  4178516  4204927  4240590  4066606  4164773  4247339
Turquía  TUR  28576887  29245699  30216096  31174275  32167323  32874112  33249207  31361351  33070239  34281955
Tanzanía  TZA  22926545  23506979  24329561  25227844  26155211  27089226  28031346  27839215  29342820  30643514
Uganda  UGA  12561282  13026478  13550001  14163205  14847009  15501519  16175558  16728018  17466536  18197126
Ucrania  UKR  21834999  21670714  21563197  21453122  21345004  21244133  21148251  20585937  20299619  0
Ingreso_mediano_alto  UMC  1373723784  1381328886  1390979801  1397205473  1403659860  1411349462  1419255465  1375177819  1420882949  1360512338
Uruguay  URY  1720501  1757881  1742337  1742862  1738336  1735162  1743411  1684519  1738442  1757161
Estados_Unidos  USA  158809862  159540139  160644681  162448669  163971527  165307010  167100511  165641653  166189867  169229171
Uzbekistán  UZB  12427026  12590956  12741289  12903896  13077212  13226129  13371837  13371680  13741206  14040336
San_Vicente_y_las_Granadinas  VCT  52760  52773  52821  52833  52855  52975  52973  50784  51364  52095
Venezuela  VEN  13251950  13365100  13467003  13499592  13257948  12619008  11431538  10451032  10501194  10811318
Islas_Vírgenes_(EE.UU.)  VIR  49378  48813  50865  50528  51143  47523  45034  44457  45794  45325
Vietnam  VNM  53110641  53761703  54503887  54678041  54999075  55246118  55877866  54751935  55034918  55951059
Vanuatu  VUT  111137  113465  116043  118487  120992  123834  126759  128714  132757  136880
Mundo  WLD  3243765814  3271679131  3304155399  3334526663  3363431189  3393223819  3453042562  3401021617  3455491821  3427841752
Samoa  WSM  66854  67611  68133  68517  69251  70144  70843  71346  73214  74694
Yemen,_Rep._del  YEM  5777525  5882886  6153998  6403465  6652109  6894546  7138301  7295686  7534852  7815910
Sudáfrica  ZAF  21678833  21981198  23120551  23430091  23776332  23771537  24142655  22920638  23621462  24308964
Zambia  ZMB  4857219  5033650  5215101  5402043  5593157  5789287  6117559  6488754  6699866  6938998
Zimbabwe  ZWE  5051977  5186851  5329948  5478775  5625665  5770226  5912685  6008633  6200666  6400551
