TIME  2013  2014  2015  2016  2017  2018  2019  2020  2021  2022
Heilbronn  110100  110000  111307  114318  114590  115001  117134  114099  96000  0
Helsingborg  0  0  0  0  54359  55056  0  0  0  0
Helsinki/Helsingfors  0  0  385600  388892  391669  397963  401141  400643  403738  0
Hildesheim  63600  62900  63636  63707  64006  64014  63986  62504  49000  0
Hradec_Kralove  0  0  0  0  0  0  0  0  0  0
Huelva  50508  50788  51747  51186  49746  51020  52650  50492  51392  52388
Hungary  0  0  0  2096215  2100069  1988316  0  0  0  0
Iasi  0  0  0  0  0  0  0  0  0  0
Igualada  0  0  16759  16841  16862  16653  17153  16931  17560  17471
Ingolstadt  110300  112200  113100  116299  117024  117210  119453  117630  100000  0
Inowroclaw  0  0  0  0  0  0  0  0  0  0
Ioannina  0  0  0  0  0  0  0  0  0  0
Ipswich  0  0  83900  81700  83900  84900  0  0  0  0
Irakleio  0  0  0  0  0  0  0  0  0  0
Ireland  0  0  0  0  0  0  0  0  0  0
Irun  0  0  17237  17227  16662  17532  17547  17857  17981  17465
Iserlohn  93000  93200  93490  94561  94027  93861  93772  92353  43000  0
Istanbul  0  0  0  0  0  0  0  0  0  0
Italy  0  0  0  0  0  0  0  0  0  0
Izmir  0  0  0  0  0  0  0  0  0  0
Jastrzebie-Zdroj  0  0  0  0  0  0  0  0  0  0
Jaen  33900  33121  34257  33538  33004  33813  33121  31763  32585  32524
Jelenia_Gora  0  0  0  0  0  0  0  0  0  0
Jelgava  0  0  23500  22900  22800  21900  22600  23700  22500  21200
Jena  46000  46000  44763  45074  0  0  45093  44162  43000  0
Jerez_de_la_Frontera  46444  47695  47168  46128  45712  46214  46179  44775  48125  47398
Jihlava  0  0  0  0  0  0  0  0  0  0
Jyvaskyla  0  0  43225  43277  43428  43660  43672  43659  43820  0
Jonkoping  0  0  0  0  43262  44203  0  0  0  0
Kaiserslautern  61600  61600  61709  64017  63492  63065  63320  61851  63000  0
Kalamata  0  0  0  0  0  0  0  0  0  0
Kalisz  0  0  0  0  0  0  0  0  0  0
Kaposvar  0  0  0  22585  0  0  0  0  0  24240
Karlovy_Vary  0  0  0  0  0  0  0  0  0  0
Karlsruhe  173800  174600  176232  179802  180860  181065  183227  178771  177000  0
Kars  0  0  0  0  0  0  0  0  0  0
Kassel  100700  99400  100286  101690  101627  100946  102372  99269  116000  0
Kastamonu  0  0  0  0  0  0  0  0  0  0
Katowice  0  0  0  0  0  0  0  0  0  0
Kaunas  0  0  103277  104353  102822  108768  110918  109729  109834  111503
Kavala  0  0  0  0  0  0  0  0  0  0
Kayseri  0  0  0  0  0  0  0  0  0  0
Kecskemet  0  0  0  41084  0  0  0  0  0  46340
Kempten_(Allgau)  52800  53400  53545  54591  55020  55240  56239  55399  38000  0
Kiel  145300  147200  147222  150166  152642  153029  154820  153219  124000  0
Kielce  0  0  0  0  0  0  0  0  0  0
Kingston_upon_Hull  0  0  136400  137000  135800  143000  0  0  0  0
Koblenz  76000  76557  76705  79151  78639  78427  78811  77213  82000  0
Kocaeli  0  0  0  0  0  0  0  0  0  0
Konin  0  0  0  0  0  0  0  0  0  0
Konstanz  65000  65900  66864  68856  68945  68952  70005  67843  28000  0
Konya  0  0  0  0  0  0  0  0  0  0
Kortrijk  0  0  36446  36818  37322  37439  37885  0  46892  0
Koszalin  0  0  0  0  0  0  0  0  0  0
Kosice  0  0  0  0  0  0  0  0  0  0
Krakow  0  0  0  0  0  0  0  0  0  0
Krefeld  48800  48900  49514  50259  50217  50432  50685  50477  67000  0
Kuopio  0  0  37991  37946  37950  38028  37987  38185  38263  0
Koln  440500  447700  453041  463567  465809  469462  474104  471444  556000  0
Kobenhavn  0  0  0  0  0  0  0  0  0  0
L_Aquila  0  0  0  0  0  18457  17983  17559  0  0
La_Louviere  0  0  0  0  0  0  0  0  31395  0
La_Rochelle  51507  52159  52632  53067  53342  54104  54851  55847  0  0
La_Spezia  0  0  0  0  0  36384  36987  36224  0  0
Lahti/Lahtis  0  0  44231  43970  43245  42906  42438  42349  42159  0
Landshut  52800  53600  54279  55651  55967  56246  57316  56778  48000  0
Larisa  0  0  0  0  0  0  0  0  0  0
